City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
46,Flinders,AU,2020-02-23 09:52:24,-34.58,150.86,72.0,77,100,9.17,overcast clouds,0.38,0.94
47,Torbay,CA,2020-02-23 09:52:25,47.67,-52.73,30.0,86,90,12.75,light shower snow,0.38,0.25
48,Hasaki,JP,2020-02-23 09:52:25,35.73,140.83,48.2,31,20,10.29,few clouds,0.38,0.25
49,Hermanus,ZA,2020-02-23 09:52:25,-34.42,19.23,84.0,51,0,14.0,clear sky,0.38,0.25
50,Barrow,US,2020-02-23 09:50:02,71.29,-156.79,-20.2,68,75,10.29,broken clouds,0.38,0.25
51,Marcona,US,2020-02-23 09:50:02,71.29,-156.79,-20.2,68,75,10.29,broken clouds,0.38,0.25
52,Carnot,CF,2020-02-23 09:52:26,4.94,15.87,95.99,14,68,2.89,broken clouds,0.38,0.25
53,Georgetown,MY,2020-02-23 09:50:28,5.41,100.34,93.2,49,20,14.99,few clouds,0.38,0.25
54,Jalu,LY,2020-02-23 09:52:26,29.03,21.55,57.6,49,0,21.18,clear sky,0.38,0.25
55,Samusu,LY,2020-02-23 09:52:26,29.03,21.55,57.6,49,0,21.18,clear sky,0.38,0.25
56,Mataura,NZ,2020-02-23 09:52:26,-46.19,168.86,57.0,84,74,7.0,broken clouds,0.38,0.25
57,Saryozek,KZ,2020-02-23 09:52:27,44.36,77.98,32.47,99,100,4.41,overcast clouds,0.38,0.25
58,Siloam Springs,US,2020-02-23 09:52:27,36.19,-94.54,46.99,65,90,4.7,drizzle,0.38,0.25
59,Guerrero Negro,MX,2020-02-23 09:52:27,27.98,-114.06,57.29,77,100,15.35,overcast clouds,0.38,0.25
60,Hami,CN,2020-02-23 09:52:27,42.8,93.45,40.75,36,2,5.28,clear sky,0.38,0.25
61,Souillac,MU,2020-02-23 09:52:28,-20.52,57.52,84.2,74,75,6.93,broken clouds,0.38,0.25
62,Kiunga,PG,2020-02-23 09:52:28,-6.12,141.29,77.38,96,95,4.83,moderate rain,6.44,0.25
63,Luderitz,NA,2020-02-23 09:52:28,-26.65,15.16,78.8,50,0,19.46,clear sky,6.44,0.25
64,Vardo,NO,2020-02-23 09:52:28,70.37,31.11,30.2,80,75,10.29,broken clouds,6.44,0.25
65,Yanan,NO,2020-02-23 09:52:28,70.37,31.11,30.2,80,75,10.29,broken clouds,6.44,0.25
66,Verdalsora,NO,2020-02-23 09:52:28,70.37,31.11,30.2,80,75,10.29,broken clouds,6.44,0.25
67,East London,ZA,2020-02-23 09:52:29,-33.02,27.91,62.6,88,20,13.87,drizzle,6.44,0.25
68,Moose Factory,CA,2020-02-23 09:48:47,51.26,-80.61,10.4,85,90,8.05,overcast clouds,6.44,0.25
69,Manokwari,ID,2020-02-23 09:52:29,-0.87,134.08,75.9,88,100,12.3,light rain,1.63,0.25
70,Aripuana,BR,2020-02-23 09:52:29,-9.17,-60.63,73.06,99,100,0.89,light rain,2.38,0.25
71,Geraldton,AU,2020-02-23 09:52:29,-28.77,114.6,80.6,65,0,14.99,clear sky,2.38,0.25
72,Coihaique,CL,2020-02-23 09:52:30,-45.58,-72.07,53.6,76,50,5.82,scattered clouds,2.38,0.25
73,Luanda,AO,2020-02-23 09:52:30,-8.84,13.23,80.6,88,75,2.24,broken clouds,2.38,0.25
74,Acapulco,MX,2020-02-23 09:52:30,16.86,-99.89,73.4,88,5,3.42,clear sky,2.38,0.25
75,Bredasdorp,ZA,2020-02-23 09:52:30,-34.53,20.04,75.0,35,0,17.22,clear sky,2.38,0.25
76,Ribeira Grande,PT,2020-02-23 09:52:31,38.52,-28.7,59.0,67,75,6.93,broken clouds,2.38,0.25
77,Cadiz,ES,2020-02-23 09:52:31,36.5,-5.75,61.0,55,0,6.93,clear sky,2.38,0.25
78,Itacoatiara,BR,2020-02-23 09:52:20,-3.14,-58.44,75.07,96,100,2.44,overcast clouds,2.38,0.25
79,Saint Albans,GB,2020-02-23 09:48:14,51.75,-0.33,57.2,87,90,33.33,light rain,2.38,0.25
80,Kahului,US,2020-02-23 09:52:31,20.89,-156.47,71.6,100,40,6.93,scattered clouds,2.38,0.25
81,Hanstholm,DK,2020-02-23 09:52:32,57.12,8.62,44.01,78,51,7.0,broken clouds,2.38,0.25
82,Cabo San Lucas,MX,2020-02-23 09:52:32,22.89,-109.91,66.0,66,31,7.61,scattered clouds,2.38,0.25
83,Jhang,PK,2020-02-23 09:52:32,33.67,72.7,73.4,40,0,8.05,clear sky,2.38,0.25
84,Urucui,BR,2020-02-23 09:52:32,-7.23,-44.56,70.75,96,100,7.47,moderate rain,3.13,0.25
85,Madimba,TZ,2020-02-23 09:52:33,-10.4,40.33,87.8,74,75,17.22,broken clouds,3.13,0.25
86,Cayenne,GF,2020-02-23 09:52:33,4.93,-52.33,80.6,78,75,8.05,broken clouds,3.13,0.25
87,Teguise,ES,2020-02-23 09:52:33,29.06,-13.56,71.6,53,28,19.46,haze,3.13,0.25
88,Quelimane,MZ,2020-02-23 09:49:08,-17.88,36.89,92.82,53,99,3.15,overcast clouds,3.13,0.25
89,Norman Wells,CA,2020-02-23 09:52:33,65.28,-126.83,5.0,84,90,1.95,light snow,3.13,0.25
90,Bambous Virieux,MU,2020-02-23 09:52:34,-20.34,57.76,84.2,74,75,6.93,broken clouds,3.13,0.25
91,Iqaluit,CA,2020-02-23 09:52:05,63.75,-68.51,-31.0,59,40,19.46,scattered clouds,3.13,0.25
92,Zhigansk,RU,2020-02-23 09:52:34,66.77,123.37,-11.97,100,95,5.84,overcast clouds,3.13,0.25
93,Faya,SA,2020-02-23 09:52:34,18.39,42.45,73.4,31,100,20.8,overcast clouds,3.13,0.25
94,Muros,ES,2020-02-23 09:52:34,42.78,-9.06,61.0,100,0,1.12,fog,3.13,0.25
95,Vostok,RU,2020-02-23 09:52:35,46.49,135.88,5.5,98,99,3.11,overcast clouds,3.13,0.25
96,Port Alfred,ZA,2020-02-23 09:52:35,-33.59,26.89,73.0,66,88,5.01,light rain,0.25,0.25
97,Namibe,AO,2020-02-23 09:52:35,-15.2,12.15,74.59,73,47,5.55,scattered clouds,0.25,0.25
98,Alizai,PK,2020-02-23 09:52:35,33.54,70.35,64.13,35,0,4.27,clear sky,0.25,0.25
99,Tuktoyaktuk,CA,2020-02-23 09:52:35,69.45,-133.04,-4.41,97,94,4.23,overcast clouds,0.25,0.25
100,Ust-Maya,RU,2020-02-23 09:52:35,60.42,134.53,0.23,96,100,2.44,overcast clouds,0.25,0.25
