City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Cabo San Lucas,MX,2020-02-21 05:35:17,22.89,-109.91,70.0,60,5,8.05
70,Vestmannaeyjar,IS,2020-02-21 05:39:13,63.44,-20.27,32.02,97,100,14.52
71,New Norfolk,AU,2020-02-21 05:39:13,-42.78,147.06,63.0,39,40,14.99
72,Gillette,US,2020-02-21 05:39:13,44.29,-105.5,24.8,49,1,28.86
73,Bemidji,US,2020-02-21 05:39:14,47.47,-94.88,12.2,78,1,8.05
74,Kutum,SD,2020-02-21 05:39:14,14.2,24.67,59.97,26,42,4.9
75,Saryg-Sep,RU,2020-02-21 05:39:14,51.5,95.6,15.13,79,98,1.05
76,Saint George,US,2020-02-21 05:39:14,37.1,-113.58,48.2,23,1,4.81
77,Namibe,AO,2020-02-21 05:39:14,-15.2,12.15,76.69,70,83,11.36
78,Kisanga,TZ,2020-02-21 05:39:15,-7.44,37.7,80.67,82,53,1.9
79,Tuktoyaktuk,CA,2020-02-21 05:39:15,69.45,-133.04,1.4,77,90,4.7
80,Havelock,US,2020-02-21 05:39:15,34.88,-76.9,36.0,86,90,16.11
81,Tasiilaq,GL,2020-02-21 05:39:15,65.61,-37.64,19.4,73,100,1.12
82,Fairbanks,US,2020-02-21 05:39:15,64.84,-147.72,17.6,100,75,4.07
83,Butaritari,KI,2020-02-21 05:39:15,3.07,172.79,83.97,78,77,13.67
84,Balkanabat,TM,2020-02-21 05:39:16,39.51,54.37,41.2,88,100,8.57
85,Puerto Quijarro,BO,2020-02-21 05:39:16,-17.78,-57.77,74.21,99,100,5.46
86,Kavieng,PG,2020-02-21 05:38:39,-2.57,150.8,83.86,76,0,13.29
87,Severo-Kurilsk,RU,2020-02-21 05:39:17,50.68,156.12,17.06,93,100,5.46
88,Kruisfontein,ZA,2020-02-21 05:39:17,-34.0,24.73,68.09,76,3,4.34
89,Bluff,NZ,2020-02-21 05:39:17,-46.6,168.33,59.0,76,60,21.99
90,Lorengau,PG,2020-02-21 05:39:18,-2.02,147.27,83.26,76,75,13.11
91,Batagay-Alyta,RU,2020-02-21 05:39:18,67.8,130.41,1.22,87,100,4.65
92,Hilo,US,2020-02-21 05:39:18,19.73,-155.09,69.8,77,90,9.17
93,Luderitz,NA,2020-02-21 05:39:18,-26.65,15.16,66.2,82,32,11.41
94,Karachi,PK,2020-02-21 05:36:03,24.91,67.08,71.6,33,57,21.92
95,Pisco,PE,2020-02-21 05:39:19,-13.7,-76.22,73.4,83,100,5.82
96,Comodoro Rivadavia,AR,2020-02-21 05:35:24,-45.87,-67.5,48.2,76,0,11.81
97,Mancio Lima,BR,2020-02-21 05:39:19,-7.61,-72.9,73.83,86,89,2.59
98,Blagoyevo,RU,2020-02-21 05:39:19,63.37,47.92,6.44,92,53,2.51
99,Nioro,GM,2020-02-21 05:39:19,13.35,-15.75,71.37,17,63,5.17
100,Forio,IT,2020-02-21 05:39:20,40.73,13.86,48.99,80,0,5.82
101,Faanui,PF,2020-02-21 05:39:20,-16.48,-151.75,82.78,77,88,16.96
102,Tual,ID,2020-02-21 05:34:44,-5.67,132.75,80.76,82,100,18.34
103,Port Hardy,CA,2020-02-21 05:39:20,50.7,-127.42,35.6,93,40,2.24
104,Komsomolskiy,UZ,2020-02-21 05:39:20,40.43,71.72,42.8,56,0,4.12
105,Khatanga,RU,2020-02-21 05:39:21,71.97,102.5,6.55,95,100,10.54
106,Hailey,US,2020-02-21 05:39:21,43.52,-114.32,15.8,61,5,10.29
107,Tahta,EG,2020-02-21 05:39:21,26.77,31.5,50.0,61,0,4.7
108,Ibipeba,BR,2020-02-21 05:39:22,-11.64,-42.01,68.07,87,94,5.97
109,Galesong,ID,2020-02-21 05:39:22,-5.32,119.37,87.8,70,20,9.17
110,Gijon,ES,2020-02-21 05:39:22,43.54,-5.66,51.8,93,75,2.24
111,Broome,US,2020-02-21 05:39:22,42.25,-75.83,14.0,78,1,5.82
112,Virginia Beach,US,2020-02-21 05:36:13,36.85,-75.98,35.6,80,90,18.34
113,Mataura,NZ,2020-02-21 05:39:23,-46.19,168.86,59.0,76,73,21.99
114,Cape Coast,GH,2020-02-21 05:39:23,5.11,-1.25,80.74,90,8,10.2
115,Whyalla,AU,2020-02-21 05:39:23,-33.03,137.58,73.4,49,0,21.92
116,Korla,CN,2020-02-21 05:35:53,41.76,86.15,30.81,39,56,4.43
117,Dauriya,RU,2020-02-21 05:39:23,49.93,116.87,15.15,80,100,5.68
118,Amapa,BR,2020-02-21 05:39:24,1.0,-52.0,70.48,98,100,2.3
119,Lagoa,PT,2020-02-21 05:39:24,39.05,-27.98,56.98,64,19,8.1
120,Mar Del Plata,AR,2020-02-21 05:39:24,-38.0,-57.56,59.0,67,75,11.41
121,Bredasdorp,ZA,2020-02-21 05:39:24,-34.53,20.04,64.99,87,0,1.12
122,Hithadhoo,MV,2020-02-21 05:39:24,-0.6,73.08,84.24,77,7,14.45
123,Hamilton,US,2020-02-21 05:36:49,39.18,-84.53,21.99,62,1,4.7
124,Esperance,AU,2020-02-21 05:35:08,-33.87,121.9,77.0,36,0,11.41
125,East London,ZA,2020-02-21 05:39:25,-33.02,27.91,68.0,94,20,4.7
126,Mahebourg,MU,2020-02-21 05:39:25,-20.41,57.7,82.0,78,75,8.05
127,Te Anau,NZ,2020-02-21 05:34:51,-45.42,167.72,55.53,70,59,10.09
128,College,US,2020-02-21 05:39:25,64.86,-147.8,19.4,100,75,4.52
129,Sept-Iles,CA,2020-02-21 05:39:26,50.2,-66.38,-13.0,62,20,4.7
130,Katherine,AU,2020-02-21 05:39:26,-14.47,132.27,93.2,49,40,8.05
131,Buraydah,SA,2020-02-21 05:38:51,26.33,43.98,50.0,81,0,3.36
132,Vyazemskiy,RU,2020-02-21 05:39:26,47.54,134.75,17.13,67,13,3.76
133,Shubarshi,KZ,2020-02-21 05:39:27,48.59,57.19,23.14,83,100,7.96
134,Yulara,AU,2020-02-21 05:39:27,-25.24,130.99,96.8,11,1,10.29
135,Isangel,VU,2020-02-21 05:39:27,-19.55,169.27,84.2,79,75,13.33
136,Alice Town,BS,2020-02-21 05:39:27,25.72,-79.3,78.06,78,3,14.76
137,Fort Saint James,CA,2020-02-21 05:39:28,54.43,-124.25,27.63,95,100,5.61
138,Bonga,ET,2020-02-21 05:39:28,7.28,36.23,71.49,58,20,0.54
139,Chuy,UY,2020-02-21 05:39:28,-33.7,-53.46,58.26,68,0,11.99
140,Flinders,AU,2020-02-21 05:39:28,-34.58,150.86,75.99,68,90,13.87
141,Bambous Virieux,MU,2020-02-21 05:39:29,-20.34,57.76,82.0,78,75,8.05
142,Jalu,LY,2020-02-21 05:39:29,29.03,21.55,57.36,61,62,10.49
143,Bagotville,AU,2020-02-21 05:39:29,-28.98,153.42,84.2,65,90,11.41
144,Sola,VU,2020-02-21 05:39:29,-13.88,167.55,83.37,76,3,15.14
145,Castro,BR,2020-02-21 05:39:29,-24.79,-50.01,66.92,94,35,4.03
146,Broken Hill,AU,2020-02-21 05:39:30,-31.95,141.43,78.8,26,9,13.87
147,Cockburn Town,TC,2020-02-21 05:39:30,21.46,-71.14,77.59,79,0,16.75
148,Palmer,US,2020-02-21 05:39:30,42.16,-72.33,21.2,48,1,4.7
149,San Quintin,MX,2020-02-21 05:39:30,30.48,-115.95,64.2,64,100,3.76
150,Guerrero Negro,MX,2020-02-21 05:39:30,27.98,-114.06,64.96,56,62,6.62
151,Saskylakh,RU,2020-02-21 05:39:31,71.92,114.08,-12.41,98,89,2.57
152,Pevek,RU,2020-02-21 05:39:31,69.7,170.31,-9.87,99,100,8.9
153,Longyearbyen,SJ,2020-02-21 05:39:31,78.22,15.64,5.0,71,75,3.36
154,Kamsack,CA,2020-02-21 05:39:31,51.57,-101.9,21.2,73,1,10.29
155,Avarua,CK,2020-02-21 05:39:32,-21.21,-159.78,82.4,83,100,10.29
156,Monte Azul,BR,2020-02-21 05:39:32,-15.15,-42.87,65.97,90,18,2.82
157,Upernavik,GL,2020-02-21 05:39:32,72.79,-56.15,-17.86,99,95,0.78
158,Westerland,DE,2020-02-21 05:39:32,54.91,8.3,41.0,86,45,5.99
159,Walvis Bay,NA,2020-02-21 05:39:32,-22.96,14.51,64.99,93,94,4.7
160,Bolivar,US,2020-02-21 05:36:23,37.61,-93.41,21.99,67,1,5.82
161,Omboue,GA,2020-02-21 05:39:33,-1.57,9.26,75.78,93,100,2.42
162,Polovinnoye,RU,2020-02-21 05:39:33,54.79,65.99,24.93,95,86,8.55
163,Santa Cruz,BO,2020-02-21 05:39:16,-17.8,-63.17,77.0,88,75,13.87
164,Baft,IR,2020-02-21 05:39:33,29.23,56.61,51.42,38,0,6.71
165,Los Llanos De Aridane,ES,2020-02-21 05:39:34,28.66,-17.92,62.6,67,3,3.36
166,Colac,AU,2020-02-21 05:39:34,-38.33,143.58,66.0,80,17,5.01
167,Tiksi,RU,2020-02-21 05:39:34,71.69,128.87,-0.8,86,100,12.03
168,Ponta Do Sol,PT,2020-02-21 05:39:34,32.67,-17.1,57.2,67,40,11.41
169,Bristol,US,2020-02-21 05:36:17,41.83,-71.17,25.0,53,1,5.82
170,Imbituba,BR,2020-02-21 05:38:25,-28.24,-48.67,77.0,83,75,9.17
171,Canoa,DO,2020-02-21 05:39:35,18.36,-71.16,68.9,89,44,2.68
172,Lata,PT,2020-02-21 05:39:35,40.16,-8.33,53.01,100,0,2.24
173,Sao Felix Do Xingu,BR,2020-02-21 05:39:35,-6.64,-51.99,71.19,98,100,1.77
